term,score,polarity,freq_misogynistic,freq_non_misogynistic,total_freq
grad,0.0003,neutral,3,2,5
poder,0.0003,neutral,4,19,23
bonec,0.0003,neutral,4,9,13
amér,0.0003,neutral,5,28,33
mart,0.0003,neutral,4,8,12
atra,0.0003,neutral,4,5,9
esfreg,0.0003,neutral,4,4,8
saque,0.0003,neutral,4,6,10
legend,0.0003,neutral,5,19,24
acolh,0.0003,neutral,4,15,19
sélf,0.0003,neutral,3,3,6
inseg,0.0003,neutral,3,3,6
inacredit,0.0003,neutral,4,16,20
patrocin,0.0003,neutral,4,4,8
diadamulh,0.0003,neutral,6,32,38
péss,0.0003,neutral,6,35,41
complet,0.0003,neutral,12,116,128
trem,0.0003,neutral,5,28,33
lamb,0.0003,neutral,5,31,36
inter,0.0003,neutral,6,39,45
nazist,0.0003,neutral,5,21,26
decid,0.0003,neutral,7,49,56
ruim,0.0003,neutral,20,228,248
aliment,0.0003,neutral,6,37,43
cens,0.0003,neutral,6,42,48
vegetari,0.0003,neutral,4,8,12
imediat,0.0003,neutral,3,5,8
antig,0.0003,neutral,7,47,54
trafic,0.0003,neutral,5,18,23
sensacion,0.0003,neutral,3,6,9
pint,0.0003,neutral,12,122,134
milic,0.0003,neutral,3,4,7
enterr,0.0003,neutral,4,5,9
afff,0.0003,neutral,4,14,18
carec,0.0003,neutral,4,17,21
atual,0.0003,neutral,5,25,30
apropri,0.0003,neutral,4,2,6
territóri,0.0003,neutral,3,3,6
terês,0.0003,neutral,4,2,6
bande,0.0003,neutral,4,17,21
janaín,0.0003,neutral,5,23,28
mulat,0.0003,neutral,3,3,6
froux,0.0003,neutral,4,13,17
fras,0.0003,neutral,8,59,67
parab,0.0003,neutral,5,20,25
padr,0.0003,neutral,10,91,101
hahahah,0.0003,neutral,7,58,65
marx,0.0003,neutral,5,17,22
assust,0.0003,neutral,5,28,33
tosc,0.0003,neutral,3,5,8
atenç,0.0003,neutral,10,87,97
caíd,0.0003,neutral,3,4,7
lenh,0.0003,neutral,3,3,6
prefeit,0.0003,neutral,8,66,74
luladra,0.0003,neutral,3,2,5
ocup,0.0003,neutral,4,17,21
bolsomit,0.0003,neutral,3,2,5
conquist,0.0003,neutral,5,29,34
diainternacionaldamulh,0.0003,neutral,4,8,12
fraud,0.0003,neutral,5,22,27
bloqu,0.0003,neutral,3,4,7
carreg,0.0003,neutral,7,49,56
libert,0.0003,neutral,6,41,47
cabec,0.0003,neutral,4,6,10
milíc,0.0003,neutral,4,8,12
surd,0.0003,neutral,4,6,10
médic,0.0003,neutral,5,22,27
dinossaur,0.0003,neutral,4,11,15
destaqu,0.0003,neutral,5,16,21
adormec,0.0003,neutral,3,2,5
revist,0.0003,neutral,6,33,39
indic,0.0003,neutral,7,53,60
plen,0.0003,neutral,6,45,51
escrav,0.0003,neutral,4,18,22
cristin,0.0003,neutral,5,17,22
artig,0.0003,neutral,4,20,24
trev,0.0003,neutral,4,7,11
esclarec,0.0003,neutral,3,2,5
supost,0.0003,neutral,4,12,16
atroc,0.0003,neutral,4,8,12
lacr,0.0003,neutral,6,35,41
bolsomerd,0.0003,neutral,3,2,5
letr,0.0003,neutral,4,14,18
acrescent,0.0003,neutral,4,4,8
perseg,0.0003,neutral,4,4,8
ating,0.0003,neutral,4,16,20
págin,0.0003,neutral,5,31,36
afet,0.0002,neutral,2,11,13
intervenç,0.0002,neutral,2,10,12
interfer,0.0002,neutral,3,11,14
prof,0.0002,neutral,4,24,28
mint,0.0002,neutral,2,4,6
colon,0.0002,neutral,2,8,10
higiên,0.0002,neutral,2,6,8
viag,0.0002,neutral,6,51,57
agoniz,0.0002,neutral,2,8,10
fars,0.0002,neutral,2,9,11
batom,0.0002,neutral,2,4,6
amém,0.0002,neutral,5,42,47
travest,0.0002,neutral,3,11,14
denúnc,0.0002,neutral,3,15,18
conv,0.0002,neutral,3,9,12
boqu,0.0002,neutral,3,16,19
repit,0.0002,neutral,2,9,11
administr,0.0002,neutral,3,17,20
chec,0.0002,neutral,2,3,5
autist,0.0002,neutral,2,7,9
joan,0.0002,neutral,2,7,9
puls,0.0002,neutral,3,11,14
statu,0.0002,neutral,3,19,22
homen,0.0002,neutral,5,40,45
fever,0.0002,neutral,2,4,6
fantas,0.0002,neutral,3,7,10
decl,0.0002,neutral,2,7,9
escond,0.0002,neutral,6,60,66
tomb,0.0002,neutral,3,7,10
homicídi,0.0002,neutral,2,6,8
hospíci,0.0002,neutral,2,4,6
cuban,0.0002,neutral,3,8,11
imagin,0.0002,neutral,21,264,285
manuel,0.0002,neutral,3,13,16
espum,0.0002,neutral,2,4,6
biolog,0.0002,neutral,2,10,12
camil,0.0002,neutral,4,30,34
defin,0.0002,neutral,6,50,56
fotograf,0.0002,neutral,2,9,11
fost,0.0002,neutral,2,8,10
estádi,0.0002,neutral,4,22,26
inset,0.0002,neutral,2,4,6
campeã,0.0002,neutral,4,28,32
prevalec,0.0002,neutral,2,4,6
bissexual,0.0002,neutral,2,4,6
meig,0.0002,neutral,2,8,10
traz,0.0002,neutral,7,67,74
chiqu,0.0002,neutral,3,16,19
concert,0.0002,neutral,2,7,9
estupid,0.0002,neutral,2,3,5
birr,0.0002,neutral,2,10,12
canc,0.0002,neutral,2,4,6
compartilh,0.0002,neutral,7,74,81
cúmplic,0.0002,neutral,2,7,9
marqu,0.0002,neutral,4,21,25
encost,0.0002,neutral,3,9,12
esquisit,0.0002,neutral,2,4,6
devast,0.0002,neutral,2,3,5
sold,0.0002,neutral,2,10,12
public,0.0002,neutral,6,56,62
retir,0.0002,neutral,3,16,19
vict,0.0002,neutral,2,8,10
desqualific,0.0002,neutral,2,6,8
senã,0.0002,neutral,3,16,19
mestr,0.0002,neutral,3,19,22
pornô,0.0002,neutral,3,21,24
decent,0.0002,neutral,3,14,17
desavis,0.0002,neutral,2,6,8
coelh,0.0002,neutral,3,11,14
dement,0.0002,neutral,4,21,25
vulg,0.0002,neutral,2,4,6
atent,0.0002,neutral,3,22,25
vampir,0.0002,neutral,2,3,5
histér,0.0002,neutral,2,3,5
misera,0.0002,neutral,2,4,6
autorit,0.0002,neutral,3,8,11
saúd,0.0002,neutral,6,64,70
dent,0.0002,neutral,4,21,25
repar,0.0002,neutral,3,19,22
estimul,0.0002,neutral,2,3,5
despert,0.0002,neutral,3,11,14
vaqu,0.0002,neutral,2,8,10
papagai,0.0002,neutral,2,4,6
crivell,0.0002,neutral,2,8,10
verb,0.0002,neutral,3,19,22
pitac,0.0002,neutral,2,4,6
alguém,0.0002,neutral,32,405,437
famil,0.0002,neutral,4,23,27
liberdad,0.0002,neutral,6,53,59
afast,0.0002,neutral,6,58,64
curs,0.0002,neutral,7,72,79
cunh,0.0002,neutral,3,25,28
envi,0.0002,neutral,3,24,27
comprov,0.0002,neutral,3,19,22
crít,0.0002,neutral,6,53,59
agir,0.0002,neutral,3,22,25
apreci,0.0002,neutral,2,8,10
admir,0.0002,neutral,5,52,57
requisit,0.0002,neutral,2,9,11
abril,0.0002,neutral,3,17,20
rainh,0.0002,neutral,4,31,35
prémi,0.0002,neutral,2,6,8
ileg,0.0002,neutral,2,10,12
estrut,0.0002,neutral,3,18,21
benf,0.0002,neutral,5,35,40
vazi,0.0002,neutral,2,4,6
alan,0.0002,neutral,2,6,8
tecn,0.0002,neutral,2,4,6
ahhhh,0.0002,neutral,2,11,13
orient,0.0002,neutral,2,5,7
meuamigosecret,0.0002,neutral,3,17,20
flávi,0.0002,neutral,2,4,6
emagrec,0.0002,neutral,3,19,22
descans,0.0002,neutral,4,21,25
problematiz,0.0002,neutral,2,4,6
faxin,0.0002,neutral,3,8,11
champ,0.0002,neutral,2,6,8
apost,0.0002,neutral,5,50,55
nagl,0.0002,neutral,3,7,10
valor,0.0002,neutral,4,24,28
bait,0.0002,neutral,2,8,10
torç,0.0002,neutral,2,9,11
óbvi,0.0002,neutral,5,38,43
denunci,0.0002,neutral,5,47,52
cláss,0.0002,neutral,3,20,23
fábi,0.0002,neutral,2,4,6
trajetór,0.0002,neutral,2,5,7
revolv,0.0002,neutral,2,4,6
caramb,0.0002,neutral,4,29,33
autoridad,0.0002,neutral,4,30,34
mulequ,0.0002,neutral,3,9,12
bolsominiom,0.0002,neutral,2,10,12
dizim,0.0002,neutral,2,3,5
desnecessár,0.0002,neutral,3,8,11
habib,0.0002,neutral,3,13,16
pertenc,0.0002,neutral,2,10,12
genocídi,0.0002,neutral,3,7,10
pistol,0.0002,neutral,3,12,15
adéli,0.0002,neutral,2,6,8
coré,0.0002,neutral,2,8,10
benefic,0.0002,neutral,2,3,5
preced,0.0002,neutral,2,6,8
talar,0.0002,neutral,2,8,10
gest,0.0002,neutral,3,16,19
verac,0.0002,neutral,2,5,7
cachac,0.0002,neutral,3,8,11
compet,0.0002,neutral,5,47,52
raiz,0.0002,neutral,4,21,25
provid,0.0002,neutral,2,8,10
danç,0.0002,neutral,7,76,83
azeit,0.0002,neutral,2,4,6
altur,0.0002,neutral,3,15,18
rasp,0.0002,neutral,2,7,9
proc,0.0002,neutral,3,25,28
planet,0.0002,neutral,5,48,53
infiltr,0.0002,neutral,2,4,6
terc,0.0002,neutral,4,36,40
econôm,0.0002,neutral,3,14,17
globonew,0.0002,neutral,2,9,11
caret,0.0002,neutral,2,4,6
comport,0.0002,neutral,4,22,26
cavalg,0.0002,neutral,2,6,8
recuper,0.0002,neutral,3,16,19
naquil,0.0002,neutral,2,4,6
misógin,0.0002,neutral,2,5,7
mamã,0.0002,neutral,5,47,52
descol,0.0002,neutral,2,8,10
ateíst,0.0002,neutral,2,4,6
pouq,0.0002,neutral,4,25,29
pist,0.0002,neutral,3,14,17
prox,0.0002,neutral,2,10,12
falec,0.0002,neutral,3,8,11
enxerg,0.0002,neutral,4,25,29
medi,0.0002,neutral,3,11,14
meli,0.0002,neutral,2,6,8
canet,0.0002,neutral,2,8,10
automatic,0.0002,neutral,2,4,6
fant,0.0002,neutral,2,11,13
meud,0.0002,neutral,2,4,6
folg,0.0002,neutral,3,14,17
carr,0.0002,neutral,12,141,153
merend,0.0002,neutral,2,5,7
funç,0.0002,neutral,2,11,13
simpat,0.0002,neutral,2,7,9
adolesc,0.0002,neutral,3,22,25
rebat,0.0002,neutral,2,10,12
fronteir,0.0002,neutral,3,10,13
jardim,0.0002,neutral,3,20,23
odebrecht,0.0002,neutral,3,10,13
genr,0.0002,neutral,2,3,5
recurs,0.0002,neutral,3,22,25
press,0.0002,neutral,4,29,33
desarm,0.0002,neutral,3,13,16
refut,0.0002,neutral,5,52,57
cald,0.0002,neutral,2,9,11
viaj,0.0002,neutral,6,61,67
marg,0.0002,neutral,2,9,11
terri,0.0002,neutral,2,4,6
reele,0.0002,neutral,2,9,11
perig,0.0002,neutral,6,48,54
cruz,0.0002,neutral,6,51,57
israel,0.0002,neutral,3,10,13
amorrr,0.0002,neutral,2,4,6
enferm,0.0002,neutral,2,8,10
parcer,0.0002,neutral,2,4,6
ativ,0.0002,neutral,4,38,42
emir,0.0002,neutral,2,6,8
homossex,0.0002,neutral,2,9,11
aproveit,0.0002,neutral,4,39,43
velhot,0.0002,neutral,2,6,8
patrulh,0.0002,neutral,2,8,10
respir,0.0002,neutral,3,16,19
critéri,0.0002,neutral,3,11,14
praç,0.0002,neutral,4,24,28
carg,0.0002,neutral,4,35,39
glock,0.0002,neutral,2,4,6
toler,0.0002,neutral,3,19,22
mani,0.0002,neutral,4,32,36
caval,0.0002,neutral,2,11,13
engravid,0.0002,neutral,2,10,12
chernobyl,0.0002,neutral,3,11,14
excre,0.0002,neutral,2,4,6
curt,0.0002,neutral,15,179,194
parqu,0.0002,neutral,2,10,12
intoler,0.0002,neutral,2,10,12
cels,0.0002,neutral,3,20,23
soror,0.0002,neutral,2,3,5
reajust,0.0002,neutral,2,4,6
chines,0.0002,neutral,2,4,6
cogit,0.0002,neutral,2,8,10
quiet,0.0002,neutral,5,51,56
princípi,0.0002,neutral,2,7,9
árab,0.0002,neutral,3,10,13
notíc,0.0002,neutral,3,23,26
folh,0.0002,neutral,4,32,36
porn,0.0002,neutral,2,6,8
consci,0.0002,neutral,5,47,52
alien,0.0002,neutral,3,16,19
rode,0.0002,neutral,2,9,11
marmit,0.0002,neutral,2,9,11
oposi,0.0002,neutral,2,6,8
animal,0.0002,neutral,5,37,42
brun,0.0002,neutral,7,72,79
ofend,0.0002,neutral,4,33,37
selv,0.0002,neutral,3,11,14
contribu,0.0002,neutral,4,32,36
iiiih,0.0002,neutral,2,4,6
acontec,0.0002,neutral,27,337,364
repreend,0.0002,neutral,2,4,6
bern,0.0002,neutral,3,9,12
ruir,0.0002,neutral,2,4,6
experiment,0.0002,neutral,2,8,10
tendenci,0.0002,neutral,2,3,5
espéci,0.0002,neutral,2,11,13
interval,0.0002,neutral,2,8,10
enjaul,0.0002,neutral,2,6,8
pior,0.0002,neutral,3,25,28
carneir,0.0002,neutral,2,4,6
polu,0.0002,neutral,2,4,6
messias,0.0002,neutral,3,9,12
idos,0.0002,neutral,2,11,13
varg,0.0002,neutral,2,8,10
menstru,0.0002,neutral,4,22,26
repúdi,0.0002,neutral,3,13,16
insignific,0.0002,neutral,2,9,11
seit,0.0002,neutral,2,7,9
prepot,0.0002,neutral,2,5,7
mora,0.0002,neutral,3,11,14
tribun,0.0002,neutral,2,9,11
jurist,0.0002,neutral,2,10,12
rodrig,0.0002,neutral,4,25,29
confund,0.0002,neutral,2,9,11
mosquit,0.0002,neutral,2,4,6
reprim,0.0002,neutral,2,7,9
foss,0.0002,neutral,2,5,7
gleic,0.0002,neutral,2,4,6
local,0.0002,neutral,3,11,14
arrepend,0.0002,neutral,4,27,31
arreg,0.0002,neutral,2,6,8
tragéd,0.0002,neutral,2,8,10
money,0.0002,neutral,2,10,12
defen,0.0002,neutral,4,24,28
demagog,0.0002,neutral,2,4,6
pacot,0.0002,neutral,3,19,22
natur,0.0002,neutral,3,13,16
inch,0.0002,neutral,2,8,10
frequ,0.0002,neutral,2,3,5
promot,0.0002,neutral,2,7,9
ferrament,0.0002,neutral,2,4,6
estági,0.0002,neutral,2,4,6
letic,0.0002,neutral,2,6,8
sutiã,0.0002,neutral,2,6,8
rihann,0.0002,neutral,2,4,6
twittealgomuitoantig,0.0002,neutral,2,4,6
macumb,0.0002,neutral,3,7,10
afront,0.0002,neutral,3,7,10
fofoc,0.0002,neutral,4,25,29
term,0.0002,neutral,5,36,41
discrimin,0.0002,neutral,3,16,19
indign,0.0002,neutral,5,40,45
desocup,0.0002,neutral,3,9,12
luci,0.0002,neutral,2,5,7
anteri,0.0002,neutral,2,10,12
port,0.0002,neutral,13,161,174
prát,0.0002,neutral,3,15,18
brazil,0.0002,neutral,2,10,12
encant,0.0002,neutral,3,7,10
íntegr,0.0002,neutral,3,8,11
propr,0.0002,neutral,2,8,10
moder,0.0002,neutral,2,4,6
charlat,0.0002,neutral,2,4,6
europe,0.0002,neutral,4,38,42
feic,0.0002,neutral,2,4,6
combin,0.0002,neutral,4,23,27
convid,0.0002,neutral,3,25,28
inescrupul,0.0002,neutral,2,6,8
bolh,0.0002,neutral,4,26,30
denegr,0.0002,neutral,2,9,11
polôn,0.0002,neutral,3,11,14
capaz,0.0002,neutral,5,36,41
firm,0.0002,neutral,4,31,35
fortun,0.0002,neutral,2,6,8
exceç,0.0002,neutral,2,6,8
famili,0.0002,neutral,2,6,8
incen,0.0002,neutral,2,5,7
aument,0.0002,neutral,7,71,78
aceler,0.0002,neutral,2,10,12
caiu,0.0002,neutral,7,79,86
símbol,0.0002,neutral,2,3,5
compreend,0.0002,neutral,2,4,6
disfarç,0.0002,neutral,4,25,29
obje,0.0002,neutral,3,21,24
tanqu,0.0002,neutral,2,10,12
produt,0.0002,neutral,6,55,61
larápi,0.0002,neutral,2,4,6
salv,0.0002,neutral,10,104,114
sirv,0.0002,neutral,2,11,13
bacan,0.0002,neutral,2,7,9
procri,0.0002,neutral,2,4,6
colégi,0.0002,neutral,5,37,42
deton,0.0002,neutral,2,4,6
apart,0.0002,neutral,3,15,18
passaport,0.0002,neutral,2,6,8
alhe,0.0002,neutral,4,31,35
hoffmann,0.0002,neutral,2,7,9
imatur,0.0002,neutral,2,4,6
portel,0.0002,neutral,2,6,8
penetr,0.0002,neutral,2,10,12
orig,0.0002,neutral,2,6,8
picu,0.0002,neutral,2,5,7
agreg,0.0002,neutral,2,3,5
past,0.0002,neutral,3,19,22
chupet,0.0002,neutral,2,8,10
bolív,0.0002,neutral,2,4,6
record,0.0002,neutral,3,25,28
gratuit,0.0002,neutral,3,25,28
global,0.0002,neutral,2,5,7
credibil,0.0002,neutral,3,16,19
progress,0.0002,neutral,3,14,17
legist,0.0002,neutral,2,3,5
allan,0.0002,neutral,2,6,8
negu,0.0002,neutral,3,12,15
recolh,0.0002,neutral,2,10,12
centen,0.0002,neutral,2,9,11
atriz,0.0002,neutral,3,7,10
descobert,0.0002,neutral,3,9,12
cheir,0.0002,neutral,8,78,86
miam,0.0002,neutral,2,7,9
mulher,0.0002,neutral,3,9,12
recu,0.0002,neutral,2,6,8
somostodosbolsonar,0.0002,neutral,2,4,6
inaceit,0.0002,neutral,3,7,10
lógic,0.0002,neutral,6,63,69
canh,0.0002,neutral,2,6,8
canil,0.0002,neutral,2,4,6
expos,0.0002,neutral,2,8,10
transport,0.0002,neutral,3,8,11
imped,0.0002,neutral,4,24,28
mist,0.0002,neutral,3,20,23
proib,0.0002,neutral,5,41,46
pesquis,0.0002,neutral,7,71,78
frágil,0.0002,neutral,3,9,12
acamp,0.0002,neutral,2,4,6
inutil,0.0002,neutral,3,13,16
alert,0.0002,neutral,3,20,23
espanhol,0.0002,neutral,2,10,12
amanh,0.0002,neutral,3,15,18
extint,0.0002,neutral,2,3,5
leal,0.0002,neutral,2,5,7
influenci,0.0002,neutral,2,8,10
xenofob,0.0002,neutral,2,6,8
twit,0.0002,neutral,2,4,6
direç,0.0002,neutral,3,17,20
gabriell,0.0002,neutral,2,4,6
entreg,0.0002,neutral,5,47,52
solid,0.0002,neutral,3,8,11
func,0.0002,neutral,4,33,37
aniversari,0.0002,neutral,2,10,12
audi,0.0002,neutral,5,37,42
jêni,0.0002,neutral,2,4,6
vitim,0.0002,neutral,2,3,5
fábr,0.0002,neutral,3,11,14
alianç,0.0002,neutral,2,9,11
engenh,0.0002,neutral,3,14,17
tort,0.0002,neutral,4,35,39
pern,0.0002,neutral,4,26,30
excet,0.0002,neutral,3,8,11
radic,0.0002,neutral,2,4,6
doenti,0.0002,neutral,2,5,7
signific,0.0002,neutral,3,23,26
irôn,0.0002,neutral,2,6,8
disp,0.0002,neutral,2,5,7
mamad,0.0002,neutral,3,8,11
sugest,0.0002,neutral,3,14,17
isenç,0.0002,neutral,2,7,9
masturb,0.0002,neutral,2,4,6
provoc,0.0002,neutral,5,37,42
prum,0.0002,neutral,2,4,6
frei,0.0002,neutral,2,3,5
merdaaaa,0.0002,neutral,2,6,8
insist,0.0002,neutral,5,42,47
impeachment,0.0002,neutral,5,35,40
patríc,0.0002,neutral,2,10,12
abandon,0.0002,neutral,3,25,28
campu,0.0002,neutral,2,3,5
milho,0.0002,neutral,2,5,7
elit,0.0002,neutral,2,3,5
burgu,0.0002,neutral,2,6,8
hoffman,0.0002,neutral,2,6,8
patrã,0.0002,neutral,3,7,10
desgrac,0.0002,neutral,3,14,17
cord,0.0002,neutral,3,9,12
hospit,0.0002,neutral,5,49,54
interpret,0.0002,neutral,4,27,31
essenc,0.0002,neutral,2,4,6
obam,0.0002,neutral,4,34,38
oferec,0.0002,neutral,4,30,34
cofr,0.0002,neutral,2,10,12
alexandr,0.0002,neutral,4,39,43
séri,0.0002,neutral,26,335,361
insult,0.0002,neutral,2,7,9
misér,0.0002,neutral,3,7,10
idolatr,0.0002,neutral,2,5,7
estagi,0.0002,neutral,3,15,18
ahhh,0.0002,neutral,3,18,21
frit,0.0002,neutral,3,9,12
jesusestávolt,0.0002,neutral,2,4,6
milh,0.0002,neutral,2,10,12
deit,0.0002,neutral,5,45,50
alzheim,0.0002,neutral,2,7,9
produz,0.0002,neutral,5,42,47
internac,0.0002,neutral,2,7,9
brinc,0.0002,neutral,12,148,160
entant,0.0002,neutral,2,5,7
contin,0.0002,neutral,2,6,8
silicon,0.0002,neutral,2,10,12
play,0.0002,neutral,2,9,11
blind,0.0002,neutral,2,11,13
estad,0.0002,neutral,2,9,11
esmag,0.0002,neutral,3,7,10
quadr,0.0002,neutral,4,27,31
dedic,0.0002,neutral,3,17,20
propri,0.0002,neutral,2,7,9
extrem,0.0002,neutral,6,48,54
zomb,0.0002,neutral,2,5,7
mald,0.0002,neutral,2,8,10
cocaín,0.0002,neutral,2,9,11
comand,0.0002,neutral,2,11,13
meritocrac,0.0002,neutral,2,10,12
jant,0.0002,neutral,4,37,41
amarg,0.0002,neutral,2,6,8
capim,0.0002,neutral,2,4,6
frut,0.0002,neutral,4,29,33
anorex,0.0002,neutral,2,4,6
insan,0.0002,neutral,3,10,13
frequent,0.0002,neutral,3,7,10
organiz,0.0002,neutral,5,35,40
regim,0.0002,neutral,3,14,17
dossi,0.0002,neutral,2,4,6
prédi,0.0002,neutral,3,13,16
raciocíni,0.0002,neutral,2,6,8
difícil,0.0002,neutral,15,173,188
laud,0.0002,neutral,2,6,8
henriqu,0.0002,neutral,3,15,18
romanc,0.0002,neutral,2,6,8
boçal,0.0002,neutral,2,4,6
hijab,0.0002,neutral,2,4,6
carat,0.0002,neutral,3,19,22
mast,0.0002,neutral,2,8,10
transgêner,0.0002,neutral,2,4,6
fotográf,0.0002,neutral,2,4,6
ciênc,0.0002,neutral,4,27,31
viad,0.0002,neutral,4,36,40
infantil,0.0002,neutral,4,27,31
copi,0.0002,neutral,3,15,18
demostr,0.0002,neutral,2,3,5
priquit,0.0002,neutral,2,4,6
financ,0.0002,neutral,3,21,24
indivídu,0.0002,neutral,3,7,10
divers,0.0002,neutral,4,37,41
conteúd,0.0002,neutral,6,61,67
luan,0.0002,neutral,3,12,15
paril,0.0002,neutral,3,13,16
exig,0.0002,neutral,4,27,31
crianc,0.0002,neutral,2,7,9
roman,0.0002,neutral,3,11,14
abat,0.0002,neutral,2,5,7
sena,0.0002,neutral,2,3,5
açaí,0.0002,neutral,2,8,10
distra,0.0002,neutral,2,8,10
privilegi,0.0002,neutral,3,18,21
desserviç,0.0002,neutral,2,6,8
clich,0.0002,neutral,2,10,12
prot,0.0002,neutral,2,6,8
ahahah,0.0002,neutral,3,13,16
canad,0.0002,neutral,3,13,16
bebed,0.0002,neutral,2,8,10
identific,0.0002,neutral,2,10,12
revog,0.0002,neutral,3,7,10
empres,0.0002,neutral,3,10,13
març,0.0002,neutral,2,8,10
cinism,0.0002,neutral,2,6,8
pneu,0.0002,neutral,2,6,8
mitrogl,0.0002,neutral,2,6,8
barb,0.0002,neutral,3,19,22
extermin,0.0002,neutral,2,7,9
vinganç,0.0002,neutral,2,5,7
tind,0.0002,neutral,2,8,10
dortmund,0.0002,neutral,2,8,10
consert,0.0002,neutral,2,5,7
elev,0.0002,neutral,2,9,11
prime,0.0002,neutral,2,11,13
bilhã,0.0002,neutral,4,28,32
proteç,0.0001,neutral,1,8,9
espanh,0.0001,neutral,1,8,9
capot,0.0001,neutral,1,10,11
imit,0.0001,neutral,1,5,6
safad,0.0001,neutral,1,4,5
vers,0.0001,neutral,2,30,32
caron,0.0001,neutral,1,7,8
garimp,0.0001,neutral,1,6,7
brinqued,0.0001,neutral,1,6,7
mongolóid,0.0001,neutral,1,5,6
confianç,0.0001,neutral,3,27,30
desfrut,0.0001,neutral,1,7,8
aposentad,0.0001,neutral,1,9,10
arbítri,0.0001,neutral,1,7,8
chut,0.0001,neutral,3,39,42
barulh,0.0001,neutral,2,20,22
ocorr,0.0001,neutral,2,16,18
trop,0.0001,neutral,1,12,13
acumul,0.0001,neutral,1,6,7
frac,0.0001,neutral,3,41,44
alcolumbr,0.0001,neutral,1,8,9
diálog,0.0001,neutral,1,12,13
oraç,0.0001,neutral,1,13,14
desprov,0.0001,neutral,1,4,5
sérgi,0.0001,neutral,2,25,27
económ,0.0001,neutral,1,7,8
polon,0.0001,neutral,1,4,5
criminal,0.0001,neutral,1,6,7
isabel,0.0001,neutral,1,13,14
gravid,0.0001,neutral,1,13,14
cozinh,0.0001,neutral,1,8,9
imens,0.0001,neutral,2,19,21
diog,0.0001,neutral,1,5,6
mári,0.0001,neutral,1,15,16
reún,0.0001,neutral,1,4,5
encaminh,0.0001,neutral,1,8,9
pornograf,0.0001,neutral,1,13,14
fortal,0.0001,neutral,1,10,11
cavac,0.0001,neutral,1,7,8
laur,0.0001,neutral,2,20,22
neym,0.0001,neutral,2,14,16
associ,0.0001,neutral,2,17,19
rast,0.0001,neutral,1,8,9
teso,0.0001,neutral,1,5,6
ruel,0.0001,neutral,1,8,9
rivotril,0.0001,neutral,1,4,5
desgost,0.0001,neutral,1,10,11
desgast,0.0001,neutral,1,4,5
devid,0.0001,neutral,1,6,7
iron,0.0001,neutral,2,19,21
itaip,0.0001,neutral,1,5,6
habitu,0.0001,neutral,1,9,10
brasíl,0.0001,neutral,2,21,23
inevit,0.0001,neutral,1,12,13
estelionat,0.0001,neutral,1,8,9
blocoesquerd,0.0001,neutral,1,5,6
brand,0.0001,neutral,1,4,5
contempl,0.0001,neutral,1,4,5
desenrol,0.0001,neutral,1,5,6
esquent,0.0001,neutral,1,12,13
rach,0.0001,neutral,2,12,14
pedaç,0.0001,neutral,2,16,18
habemuspap,0.0001,neutral,1,5,6
cerc,0.0001,neutral,2,23,25
engaj,0.0001,neutral,1,4,5
lest,0.0001,neutral,1,4,5
transfer,0.0001,neutral,1,13,14
ameb,0.0001,neutral,1,6,7
medr,0.0001,neutral,1,7,8
desconhec,0.0001,neutral,2,25,27
japon,0.0001,neutral,2,16,18
complic,0.0001,neutral,2,22,24
jaim,0.0001,neutral,1,4,5
rost,0.0001,neutral,4,45,49
magd,0.0001,neutral,1,4,5
fusc,0.0001,neutral,1,5,6
infânc,0.0001,neutral,1,7,8
chap,0.0001,neutral,3,28,31
facul,0.0001,neutral,1,7,8
compromiss,0.0001,neutral,1,16,17
prev,0.0001,neutral,1,8,9
janel,0.0001,neutral,2,20,22
justif,0.0001,neutral,1,4,5
inov,0.0001,neutral,1,7,8
começ,0.0001,neutral,18,238,256
super,0.0001,neutral,2,25,27
musk,0.0001,neutral,1,5,6
repercuss,0.0001,neutral,1,4,5
alívi,0.0001,neutral,1,9,10
alckmin,0.0001,neutral,1,4,5
malh,0.0001,neutral,1,13,14
lauren,0.0001,neutral,1,7,8
replet,0.0001,neutral,1,6,7
compost,0.0001,neutral,1,11,12
piqu,0.0001,neutral,2,20,22
intimid,0.0001,neutral,1,7,8
iníci,0.0001,neutral,3,26,29
dispos,0.0001,neutral,2,13,15
assin,0.0001,neutral,3,39,42
anorm,0.0001,neutral,1,4,5
inte,0.0001,neutral,1,4,5
nariz,0.0001,neutral,2,12,14
coer,0.0001,neutral,1,14,15
especific,0.0001,neutral,1,6,7
trup,0.0001,neutral,1,4,5
banh,0.0001,neutral,10,125,135
dudu,0.0001,neutral,1,9,10
ingress,0.0001,neutral,4,41,45
pendur,0.0001,neutral,1,10,11
probabil,0.0001,neutral,1,6,7
jogu,0.0001,neutral,1,7,8
julh,0.0001,neutral,1,14,15
expliqu,0.0001,neutral,1,4,5
falác,0.0001,neutral,1,4,5
parl,0.0001,neutral,1,4,5
sequestr,0.0001,neutral,1,10,11
daqu,0.0001,neutral,6,85,91
decad,0.0001,neutral,2,12,14
relax,0.0001,neutral,3,26,29
seguint,0.0001,neutral,2,21,23
ahahahahahah,0.0001,neutral,1,7,8
chapéu,0.0001,neutral,1,14,15
inconveni,0.0001,neutral,1,8,9
diplomac,0.0001,neutral,1,7,8
